,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3125,DA Warner,Chennai Super Kings,Dubai International Cricket Stadium,2,0,27.555555555555557,38.25,4,0,18.328205128205127
3126,F du Plessis,Sunrisers Hyderabad,Dubai International Cricket Stadium,3,0,32.54545454545455,33.23076923076923,4,0,11.43809523809524
3127,JM Bairstow,Chennai Super Kings,Dubai International Cricket Stadium,2,0,32.285714285714285,16.166666666666668,1,0,10.873076923076923
3128,KM Jadhav,Sunrisers Hyderabad,Dubai International Cricket Stadium,0,0,10.666666666666666,13.166666666666666,0,0,5.2
3129,KS Williamson,Chennai Super Kings,Dubai International Cricket Stadium,2,0,26.75,35.54545454545455,3,0,28.06923076923077
3130,MK Pandey,Chennai Super Kings,Dubai International Cricket Stadium,2,0,31.22222222222222,24.666666666666668,2,0,21.821014492753623
3131,MS Dhoni,Sunrisers Hyderabad,Dubai International Cricket Stadium,0,0,16.4,22.833333333333332,1,0,32.27827442827443
3132,PK Garg,Chennai Super Kings,Dubai International Cricket Stadium,1,0,14.75,24.666666666666668,1,0,30.753968253968257
3133,RA Jadeja,Sunrisers Hyderabad,Dubai International Cricket Stadium,1,0,20.875,17.272727272727273,1,0,37.85808080808081
3134,SM Curran,Sunrisers Hyderabad,Dubai International Cricket Stadium,0,0,12.0,18.25,0,0,34.14545454545454
3135,SR Watson,Sunrisers Hyderabad,Dubai International Cricket Stadium,1,0,28.0,33.916666666666664,3,1,18.159649122807018
3136,CH Gayle,Mumbai Indians,Dubai International Cricket Stadium,0,0,20.0,27.3,2,0,31.167391304347827
3137,CJ Jordan,Mumbai Indians,Dubai International Cricket Stadium,0,0,8.333333333333334,13.0,0,0,22.95
3138,DJ Hooda,Mumbai Indians,Dubai International Cricket Stadium,0,0,7.0,15.909090909090908,0,0,18.3375
3139,GJ Maxwell,Mumbai Indians,Dubai International Cricket Stadium,3,0,22.5,28.615384615384617,3,0,22.179487179487182
3140,HH Pandya,Kings XI Punjab,Dubai International Cricket Stadium,0,0,9.714285714285714,17.0,0,0,14.850000000000001
3141,Ishan Kishan,Kings XI Punjab,Dubai International Cricket Stadium,3,0,40.857142857142854,19.25,0,0,13.8
3142,KA Pollard,Kings XI Punjab,Dubai International Cricket Stadium,1,0,17.25,35.111111111111114,3,0,31.533333333333335
3143,KH Pandya,Kings XI Punjab,Dubai International Cricket Stadium,0,0,11.4,21.166666666666668,0,0,29.633333333333333
3144,KL Rahul,Mumbai Indians,Dubai International Cricket Stadium,5,1,47.166666666666664,58.84615384615385,8,3,33.514150943396224
3145,MA Agarwal,Mumbai Indians,Dubai International Cricket Stadium,2,0,29.3,29.09090909090909,2,0,30.450000000000003
3146,N Pooran,Mumbai Indians,Dubai International Cricket Stadium,2,0,25.454545454545453,16.571428571428573,0,0,16.3
3147,NM Coulter-Nile,Kings XI Punjab,Dubai International Cricket Stadium,0,0,24.0,24.0,0,0,32.3
3148,Q de Kock,Kings XI Punjab,Dubai International Cricket Stadium,1,0,24.625,37.0,4,0,26.022727272727273
3149,RG Sharma,Kings XI Punjab,Dubai International Cricket Stadium,1,0,21.666666666666668,18.11111111111111,1,0,12.008333333333333
3150,SA Yadav,Kings XI Punjab,Dubai International Cricket Stadium,1,0,13.285714285714286,19.571428571428573,1,0,0.4
3151,JC Archer,Sunrisers Hyderabad,Dubai International Cricket Stadium,0,0,6.2,8.5,0,0,28.2
